gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
Male,0,Yes,Yes,20,Yes,Yes,ZOL Fibroniks,Month-to-month,Yes,EcoCash,54.45,1050.27,0
Female,0,Yes,No,49,Yes,Yes,Liquid Home,Month-to-month,No,OneMoney,8.0,366.65,1
Female,0,Yes,Yes,69,Yes,Yes,ZOL Fibroniks,Two year,Yes,OneMoney,31.31,2148.21,0
Male,0,No,No,37,Yes,No,TelOne ADSL,One year,Yes,OneMoney,30.63,1187.08,0
Male,0,No,Yes,40,No,No phone service,Econet Mobile,Month-to-month,Yes,Cash deposit,29.64,1165.86,0
Female,0,No,No,60,Yes,No,ZOL Fibroniks,Month-to-month,Yes,ZIPIT,52.01,3137.07,1
Male,0,No,No,4,Yes,No,None,Two year,Yes,Cash deposit,33.23,178.55,0
Female,0,Yes,Yes,71,Yes,Yes,None,One year,No,EcoCash,30.27,2151.9,0
Male,0,Yes,No,34,Yes,No,ZOL Fibroniks,One year,Yes,Cash deposit,37.76,1370.77,0
Male,0,No,Yes,27,Yes,Yes,Liquid Home,Two year,Yes,Bank debit order,38.46,1011.61,0
Female,1,No,No,45,Yes,Yes,ZOL Fibroniks,Month-to-month,No,EcoCash,16.21,756.68,1
Female,0,No,Yes,66,Yes,Yes,None,Month-to-month,Yes,EcoCash,55.82,3704.13,1
Female,1,Yes,No,68,Yes,Yes,TelOne ADSL,Month-to-month,Yes,OneMoney,27.59,1882.67,0
Female,1,Yes,Yes,56,Yes,No,Econet Mobile,Month-to-month,No,OneMoney,36.14,1917.35,0
Female,1,No,No,35,Yes,No,None,Two year,Yes,OneMoney,64.94,2259.33,0
Female,0,Yes,Yes,10,Yes,No,TelOne ADSL,Month-to-month,No,Cash deposit,90.31,816.14,0
Female,0,Yes,No,13,Yes,No,Econet Mobile,Two year,No,EcoCash,46.43,578.91,0
Male,0,No,Yes,61,Yes,No,ZOL Fibroniks,One year,Yes,Bank debit order,8.0,484.33,0
Female,0,No,Yes,9,Yes,No,ZOL Fibroniks,One year,No,Cash deposit,32.84,410.78,1
Male,0,No,No,35,Yes,No,Liquid Home,One year,Yes,EcoCash,68.88,2448.61,0
Female,0,No,Yes,29,Yes,No,None,Month-to-month,No,EcoCash,33.85,930.19,0
Male,1,No,Yes,51,Yes,Yes,ZOL Fibroniks,One year,Yes,ZIPIT,52.99,2712.52,0
Male,0,Yes,No,25,Yes,No,Liquid Home,One year,Yes,EcoCash,52.73,1339.35,0
Female,0,Yes,Yes,51,Yes,No,Econet Mobile,Month-to-month,Yes,OneMoney,25.33,1296.87,1
Female,0,No,No,37,Yes,Yes,ZOL Fibroniks,Month-to-month,Yes,OneMoney,72.07,2667.51,1
Female,0,Yes,Yes,64,Yes,No,TelOne ADSL,Month-to-month,Yes,Bank debit order,45.72,2898.36,0
Male,0,No,No,13,Yes,No,ZOL Fibroniks,Month-to-month,Yes,EcoCash,37.52,505.81,0
Female,0,No,No,55,Yes,No,ZOL Fibroniks,Two year,No,ZIPIT,35.05,1940.82,0
Female,0,Yes,Yes,52,Yes,Yes,Liquid Home,Month-to-month,Yes,Bank debit order,16.9,912.78,0
Male,0,No,Yes,60,Yes,Yes,Econet Mobile,Month-to-month,Yes,OneMoney,23.79,1469.37,0
Male,0,No,No,35,Yes,Yes,ZOL Fibroniks,Month-to-month,Yes,EcoCash,19.59,725.99,0
Male,0,Yes,No,23,Yes,No,Liquid Home,One year,No,EcoCash,78.93,1820.75,1
Male,0,Yes,Yes,37,Yes,No,Econet Mobile,Month-to-month,No,EcoCash,56.67,2088.69,0
Female,0,No,Yes,71,Yes,No,Liquid Home,Month-to-month,No,EcoCash,19.83,1445.01,1
Female,0,Yes,Yes,14,Yes,No,Liquid Home,One year,No,EcoCash,71.18,955.42,0
Male,0,Yes,No,48,Yes,Yes,TelOne ADSL,Month-to-month,No,OneMoney,62.57,2879.72,0
Female,0,No,No,16,Yes,Yes,None,Month-to-month,Yes,OneMoney,26.43,336.0,1
Female,0,No,Yes,56,Yes,No,Econet Mobile,Month-to-month,No,EcoCash,47.56,2569.64,1
Male,0,No,Yes,30,Yes,Yes,ZOL Fibroniks,One year,Yes,EcoCash,25.73,800.02,1
Female,0,No,No,62,Yes,No,TelOne ADSL,Month-to-month,No,ZIPIT,56.45,3506.53,0
Male,1,No,No,11,Yes,No,TelOne ADSL,Month-to-month,No,OneMoney,46.86,554.83,0
Female,0,Yes,Yes,9,Yes,No,Liquid Home,One year,Yes,ZIPIT,30.38,299.3,0
Female,1,Yes,Yes,69,Yes,No,TelOne ADSL,Month-to-month,Yes,EcoCash,15.72,1136.57,0
Male,0,No,Yes,24,Yes,Yes,Econet Mobile,Month-to-month,Yes,EcoCash,36.83,940.43,1
Male,0,Yes,No,6,Yes,No,Econet Mobile,Month-to-month,No,OneMoney,46.85,328.36,0
Female,0,No,Yes,61,Yes,No,TelOne ADSL,Month-to-month,Yes,Cash deposit,61.41,3794.34,1
Male,0,No,Yes,30,Yes,Yes,ZOL Fibroniks,One year,Yes,ZIPIT,49.32,1561.51,0
Female,1,Yes,No,67,Yes,No,TelOne ADSL,One year,Yes,EcoCash,54.67,3766.99,0
Female,0,No,Yes,31,Yes,No,TelOne ADSL,Month-to-month,No,EcoCash,24.47,762.31,0
